56599	1785466737-KTP1	288	1	20	11	4	0	0	0	15
56600	1785466737-KTP1	289	1	23	19	2	0	0	0	5
56601	1785466737-KTP1	290	1	16	15	0	2	0	0	6
56602	1785466737-KTP1	291	1	15	17	4	0	0	0	2
56603	1785466737-KTP1	292	1	21	13	5	0	0	0	7
56604	1785466737-KTP1	293	1	16	14	3	1	0	0	5
56605	1785466737-KTP1	294	1	5	19	1	0	0	0	5
56606	1785466737-KTP1	295	1	9	21	2	1	0	0	8
56607	1785466737-KTP1	296	1	16	18	2	0	0	0	10
56608	1785466737-KTP1	297	1	16	16	4	1	0	0	10
56609	1785466737-KTP1	298	1	21	17	5	0	0	0	7
56610	1785466737-KTP1	299	1	15	13	2	1	0	0	2
56614	1785466737-KTP1	288	2	39	24	9	0	0	4518	10
56615	1785466737-KTP1	289	2	36	28	6	2	0	6826	5
56616	1785466737-KTP1	290	2	27	30	1	0	0	3881	3
56617	1785466737-KTP1	291	2	42	22	8	1	0	6681	5
56618	1785466737-KTP1	292	2	20	31	4	3	0	3947	7
56619	1785466737-KTP1	293	2	26	28	1	1	0	4304	8
56620	1785466737-KTP1	294	2	14	30	1	2	0	2409	6
56621	1785466737-KTP1	295	2	15	31	6	3	0	3240	3
56622	1785466737-KTP1	296	2	43	39	2	1	0	6369	8
56623	1785466737-KTP1	297	2	20	29	1	0	0	3455	1
56624	1785466737-KTP1	298	2	25	26	5	5	0	4524	6
56625	1785466737-KTP1	299	2	33	22	6	0	0	5732	5
56629	1785466737-KTP1	288	0	59	35	13	0	0	4518	25
56630	1785466737-KTP1	289	0	59	47	8	2	0	6826	10
56631	1785466737-KTP1	290	0	43	45	1	2	0	3881	9
56632	1785466737-KTP1	291	0	57	39	12	1	0	6681	7
56633	1785466737-KTP1	292	0	41	44	9	3	0	3947	14
56634	1785466737-KTP1	293	0	42	42	4	2	0	4304	13
56635	1785466737-KTP1	294	0	19	49	2	2	0	2409	11
56636	1785466737-KTP1	295	0	24	52	8	4	0	3240	11
