287	HLTV	dod
288	1:443810	dod
289	1:748805	dod
290	0:836459725	dod
291	0:741614372	dod
292	1:2052836	dod
293	1:2312843	dod
294	1:10054114	dod
295	0:104450108	dod
296	1:9865547	dod
297	1:25130574	dod
298	1:11494215	dod
299	1:93610	dod
300	0:90794	dod
301	0:32793027	dod
302	0:77934219	dod
303	1:961564212	dod
304	0:16983	dod
305	0:3906550	dod
306	0:2221518	dod
307	0:7735372	dod
308	1:777438	dod
309	1:51476452	dod
310	0:10230748	dod
311	0:99398	dod
312	1:6122950	dod
313	0:74027	dod
314	0:4492	dod
315	1:10468563	dod
316	1:1547256	dod
317	0:749715	dod
318	1:18676541	dod
319	0:281787	dod
320	1:8702451	dod
321	0:8832199	dod
322	0:123285	dod
323	0:78863	dod
324	0:25429845	dod
325	1:9833731	dod
326	0:1794	dod
327	1:1699528	dod
328	0:15083886	dod
329	0:46798294	dod
330	1:6758404	dod
331	0:642008661	dod
332	1:68033122	dod
333	1:351766339	dod
334	1:64041420	dod
335	1:9446506	dod
336	0:3612473	dod
337	1:31962398	dod
338	0:11692441	dod
339	1:961681828	dod
340	1:955338590	dod
341	1:67913	dod
342	0:72967	dod
343	1:6155141	dod
344	0:6291720	dod
345	1:25292511	dod
346	0:237126	dod
347	0:363246168	dod
348	0:2996359	dod
349	0:569554485	dod
350	1:24850	dod
351	1:16016464	dod
352	1:10437288	dod
