"","kanguhhh","16","42","46","0.91","","","","ProstaR","9","42","71","0.59","","","","","","",""
"","seanality","32","74","44","1.68","","","","Cory","12","51","70","0.73","","","","","","",""
"","sik","2","62","50","1.24","","","","mogers","10","59","60","0.98","","","","","","",""
"","monday","14","62","40","1.55","","","","Riveroyster","16","46","60","0.77","","","","","","",""
"","vertex","9","71","52","1.37","","","","Nicholson","2","39","49","0.80","","","","","","",""
"","hildebrand","11","59","44","1.34","","","","eman","10","34","69","0.49","","","","","","",""
"","Upper Bracket Knockout bo3 Semi Final?","","","","","","","","","","","","","","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","","",""
"","soul","","","","","","","","uKz","","","","","","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","","",""
"","soul","","","","","","","","","","","","","","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","","",""
"","Team & Players","","","","","","VS","","Team & Players","","","","","","","","","","",""
